LONGITUDE,LATITUDE,DISTRICT,BLOCK,NAME_EN,NAME_AR
36.313120,32.296234,12,1,Albir,البر
36.312032,32.295300,12,3,Makiyon1,مكيون ١
36.314348,32.295712,12,2,Alhabeeb almostafa,الحبيب المصطفى
36.317653,32.294354,12,3,Ja'far altayar,جعفر الطيار
36.316408,32.295004,12,3,Almouna,المنى
36.313365,32.293388,12,6,Sa'eed bin alousayab,سعيد بن المسيب
36.335496,32.282375,8,23,Alzobayr bin awam,الزبير بن عوام
36.315540,32.291025,12,10,Hamza bin abdelmoutaleb,حمزة بن عبدالمطلب
36.338329,32.281460,8,24,Shohada alghota,شهداء الغوطة
36.337475,32.283268,8,20,Alqa'qa bin amro altamimi,القعقاع بن عمرو التميمي
36.338641,32.286603,8,8,Alda'wa,الدعوة
36.340546,32.283843,8,14,A'l askar,ال عسكر
36.339081,32.288155,8,2,Ahl alsoneh,اهل السنة
36.342736,32.291454,7,14,Khozayma bin thabet alansari,خزيمة بن ثابت الانصاري
36.337426,32.289772,7,1,Ibn katheer aldemashqe,ابن كثير الدمشقي
36.340847,32.289711,7,6,Amro bin ala's,عمرو بن العاص
36.341245,32.293525,7,18,Ahl alsham,اهل الشام
36.340106,32.292664,7,13,Anas bin malek,انس بن مالك
36.338613,32.295350,7,21,Altaqwa,التقوى
36.339996,32.296346,7,23,Aliman bellah,الايمان بالله
36.334679,32.290317,6,18,Sayed bin thabet,زيد بن ثابت
36.335313,32.291657,6,14,Alsahabah,الصحابه
36.334631,32.294625,6,9,Alwalden,الوالدين
36.332867,32.292404,6,15,Aisha bint abi baker,عائشة بنت ابي بكر
36.332803,32.298631,5,4,Moa'oya bn abi sofian,معاوية بن ابي سفيان
36.333830,32.297376,6,3,Alrayan,الريان
36.329501,32.294927,5,20,Abdallah Ben almobarak,عبدالله بن المبارك
36.332046,32.295895,5,14,Alomari Alkabeer,جامع العمري الكبير
36.329633,32.299994,5,1,Alislah,الاصلاح
36.329678,32.297599,5,9,Almohamadi Alkabeer,الجامع المحمدي الكبير
36.321619,32.286915,11,16,Alemam moslem,مسجد الامام مسلم
36.317663,32.289684,11,11,Khadeja bnt khoiled,خديجه بنت خويلد
36.319419,32.291037,11,9,Abo baker alsadeq,ابو بكر الصديق
36.321823,32.290696,11,8,Mosa'b beb omair,مصعب بن عمير
36.319930,32.292244,11,5,Jaafar beb abi taleb,جعفر بن ابي طالب
36.317665,32.292913,11,5,Ali bin abi taleb,علي بن ابي طالب
36.321316,32.293870,11,1,Belal alhabashi,بلال الحبشي
36.323967,32.292829,11,4,Alhoda,الهدى
36.327825,32.292090,10,2,Alforqan,الفرقان
36.329876,32.290936,10,4,Othman bin afan,عثمان بن عفان
36.326677,32.290193,10,5,Omar almokhtar,عمر المختار
36.324209,32.290640,10,7,Harmala bin alwaled,حرمله بن الوليد
36.327654,32.288550,10,8,Abi baker alsadeq,ابي بكر الصديق
36.325696,32.287344,10,12,Ibn alqaim,ابن القيم
36.322935,32.287947,10,11,Abo baker alsadeq,ابو بكر الصديق
36.325669,32.284902,10,16,Alkuaiti,الكويتي
36.327808,32.285185,9,15,Aisha om almomanin,السيده عائشه ام المؤمنين
36.329281,32.285820,9,11,Omar bin alkhatab,عمر بن الخطاب
36.331782,32.285076,9,12,Alemam moslem bin alhajaj,الامام مسلم بن الحجاج
36.329071,32.288068,9,9,,لا يوجد
36.329759,32.289121,9,5,Kaled bin alwaled,خالد بن الوليد
36.332847,32.289000,9,6,Om salama,ام سلمه
36.325048,32.301552,3,1,Shohadaa alghota,مسجد شهداء الغوطه
36.322794,32.301106,3,5,Almohajeren o alansar,مسجد المهاجرين والانصار
36.325077,32.298304,3,12,Khaled Ben alwaled,خالد بن الوليد
36.325791,32.300250,3,6,Salah Alden alayobi,صلاح الدين الايوبي
36.327669,32.300168,3,4,Alkuiti,الكويتي
36.326526,32.295867,4,6,Ammar bn yaser,عمار بن ياسر
36.323643,32.295615,4,10,Alemam ballah,الايمان بالله
36.321295,32.295932,4,11,Alfaroq,الفاروق
36.318996,32.295874,4,13,Altawhed,التوحيد
36.320541,32.296585,4,11,Almoqdad bn alaswad,المقداد بن الاسود
36.322409,32.296705,4,7,Moaath bn jabal,معاذ بن جبل
36.321177,32.297715,4,5,Alsadiq alamen,الصادق الامين
36.323688,32.297772,4,1,Anas bn malek,انس بن مالك
36.314287,32.296739,2,9,Altaqwa,التقوى
36.318469,32.298046,2,5,Abo baker alsadeq,ابو بكر الصديق
36.314499,32.299432,2,2,Alomari,العمري
36.316643,32.299074,2,3,Khadeja,خديجه
36.316709,32.300747,1,10,Rohmaa baynahom,رحماء بينهم
36.320042,32.299723,2,1,Alkravan,الكرفانه
36.316190,32.302275,1,6,Abd alrhman bn awf,عبد الرحمن بن عوف
36.319218,32.303177,1,3,Alsalam,السلام
36.319572,32.301893,1,6,Zaatari kaber,مسجد الزعتري الكبير
36.317058,32.301432,1,8,Alfaroq,الفاروق
36.334754,32.286509,8,11,,
